Метод барьерных функций, Метод Ньютона
    119	[ 1.5522,-4.6566]	-71.9833	 0.0004	 0.0078	  0.003
    120	[ 1.5531,-4.6593]	-71.9843	 0.0003	 0.0078	 0.0029
    121	[  1.554, -4.662]	-71.9853	 0.0003	 0.0078	 0.0028
    122	[ 1.5548,-4.6645]	-71.9862	 0.0003	 0.0078	 0.0027
    123	[ 1.5557, -4.667]	-71.987	 0.0002	 0.0078	 0.0026
    124	[ 1.5565,-4.6694]	-71.9878	 0.0002	 0.0078	 0.0025
    125	[ 1.5572,-4.6717]	-71.9886	 0.0002	 0.0078	 0.0024
    126	[  1.558,-4.6739]	-71.9893	 0.0002	 0.0078	 0.0024
    127	[ 1.5587,-4.6761]	-71.9899	 0.0002	 0.0078	 0.0023
    128	[ 1.5594,-4.6782]	-71.9905	 0.0001	 0.0078	 0.0022
    129	[ 1.5601,-4.6802]	-71.9911	 0.0001	 0.0078	 0.0021
    130	[ 1.5607,-4.6822]	-71.9917	 0.0001	 0.0078	 0.0021
    131	[ 1.5614,-4.6841]	-71.9922	 0.0001	 0.0078	  0.002
    132	[  1.562, -4.686]	-71.9927	 0.0001	 0.0078	  0.002
    133	[ 1.5626,-4.6878]	-71.9931	 0.0001	 0.0078	 0.0019
    134	[ 1.5632,-4.6895]	-71.9935	 0.0001	 0.0078	 0.0018
    135	[ 1.5637,-4.6912]	-71.9939	 0.0001	 0.0078	 0.0018
    136	[ 1.5643,-4.6928]	-71.9943	 0.0001	 0.0078	 0.0017
    137	[ 1.5648,-4.6944]	-71.9947	 0.0001	 0.0078	 0.0017
    138	[ 1.5653,-4.6959]	-71.995	    0.0	 0.0078	 0.0016
    139	[ 1.5658,-4.6974]	-71.9953	    0.0	 0.0078	 0.0016
    140	[ 1.5663,-4.6989]	-71.9956	    0.0	 0.0078	 0.0015
    141	[ 1.5668,-4.7003]	-71.9959	    0.0	 0.0078	 0.0015
    142	[ 1.5672,-4.7016]	-71.9961	    0.0	 0.0078	 0.0014
    143	[ 1.5676,-4.7029]	-71.9964	    0.0	 0.0078	 0.0014
    144	[ 1.5681,-4.7042]	-71.9966	    0.0	 0.0078	 0.0013
    145	[ 1.5685,-4.7054]	-71.9968	    0.0	 0.0078	 0.0013
    146	[ 1.5689,-4.7066]	-71.997	    0.0	 0.0078	 0.0013
    147	[ 1.5692,-4.7077]	-71.9972	    0.0	 0.0078	 0.0012
    148	[ 1.5696,-4.7089]	-71.9973	    0.0	 0.0078	 0.0012
    149	[   1.57,-4.7099]	-71.9975	    0.0	 0.0078	 0.0011
    150	[ 1.5703, -4.711]	-71.9977	    0.0	 0.0078	 0.0011
    151	[ 1.5707, -4.712]	-71.9978	    0.0	 0.0078	 0.0011
    152	[  1.571, -4.713]	-71.9979	    0.0	 0.0078	  0.001
    153	[ 1.5713,-4.7139]	-71.9981	    0.0	 0.0078	  0.001
    154	[ 1.5716,-4.7148]	-71.9982	    0.0	 0.0078	  0.001
Метод барьерных функций, Метод исчерпывающего спуска
      1	[ 0.2137,-1.7758]	-49.3588	 0.0434	15.5787
      2	[ 1.4346,-2.7407]	-61.492	 0.0999	14.2863
      3	[ 0.9385,-3.3291]	-66.9093	 0.0539	  6.896
      4	[ 1.4794,-3.7575]	-69.5715	 0.1001	 6.3096
      5	[ 1.2597,-4.0115]	-70.6679	 0.0532	 2.9965
      6	[ 1.4982,-4.2059]	-71.3249	 0.1027	 2.7747
      7	[ 1.4013,-4.3143]	-71.5549	 0.0524	  1.315
      8	[ 1.5089, -4.407]	-71.7489	  0.108	  1.255
      9	[  1.465,-4.4559]	-71.8041	 0.0524	  0.631
     10	[  1.518,-4.5038]	-71.8747	 0.1132	 0.6235
     11	[ 1.4964,-4.5295]	-71.8925	 0.0539	 0.3589
     12	[ 1.5266,-4.5569]	-71.924	 0.1137	 0.3638
     13	[ 1.5141,-4.5737]	-71.9324	 0.0574	 0.2475
     14	[ 1.5344, -4.591]	-71.949	 0.1077	  0.252
     15	[  1.526,-4.6044]	-71.9546	 0.0627	 0.1972
     16	[ 1.5412,-4.6162]	-71.9644	 0.0978	 0.1961
     17	[ 1.5349,-4.6282]	-71.9686	 0.0692	 0.1695
     18	[ 1.5472,-4.6366]	-71.9748	 0.0879	 0.1607
     19	[ 1.5422,-4.6478]	-71.9782	 0.0764	 0.1493
     20	[ 1.5524,-4.6538]	-71.9823	 0.0795	 0.1334
     21	[ 1.5485,-4.6644]	-71.985	 0.0842	 0.1312
     22	[  1.557,-4.6688]	-71.9877	 0.0729	   0.11
     23	[  1.554,-4.6785]	-71.9898	 0.0926	 0.1135
     24	[  1.561,-4.6816]	-71.9916	 0.0677	 0.0895
     25	[ 1.5587,-4.6905]	-71.9932	 0.1018	 0.0961
     26	[ 1.5644,-4.6927]	-71.9943	 0.0636	 0.0715
     27	[ 1.5628,-4.7006]	-71.9955	 0.1117	 0.0795
     28	[ 1.5674,-4.7021]	-71.9962	 0.0604	 0.0563
     29	[ 1.5663,-4.7089]	-71.9971	 0.1222	 0.0642
     30	[ 1.5699,  -4.71]	-71.9975	 0.0579	 0.0436
     31	[ 1.5692,-4.7158]	-71.9981	 0.1333	 0.0507
     32	[  1.572,-4.7165]	-71.9984	  0.056	 0.0333
     33	[ 1.5716,-4.7213]	-71.9988	 0.1445	 0.0392
     34	[ 1.5737,-4.7218]	-71.999	 0.0547	 0.0253
     35	[ 1.5736,-4.7258]	-71.9992	 0.1552	 0.0298
     36	[ 1.5752,-4.7261]	-71.9993	 0.0538	 0.0192
     37	[ 1.5751,-4.7293]	-71.9995	 0.1647	 0.0226
     38	[ 1.5763,-4.7296]	-71.9996	 0.0533	 0.0147
     39	[ 1.5764,-4.7321]	-71.9997	 0.1722	 0.0171
     40	[ 1.5772,-4.7323]	-71.9997	 0.0532	 0.0114
     41	[ 1.5773,-4.7343]	-71.9998	 0.1772	 0.0132
     42	[  1.578,-4.7344]	-71.9998	 0.0532	 0.0089
     43	[ 1.5781, -4.736]	-71.9999	   0.18	 0.0103
     44	[ 1.5786,-4.7362]	-71.9999	 0.0534	 0.0071
     45	[ 1.5786,-4.7374]	-71.9999	  0.181	 0.0082
     46	[ 1.5791,-4.7375]	-71.9999	 0.0536	 0.0057
     47	[ 1.5791,-4.7386]	-71.9999	  0.181	 0.0066
     48	[ 1.5795,-4.7387]	-71.9999	 0.0537	 0.0046
     49	[ 1.5795,-4.7395]	  -72.0	 0.1806	 0.0054
     50	[ 1.5798,-4.7396]	  -72.0	 0.0538	 0.0038
     51	[ 1.5798,-4.7402]	  -72.0	 0.1801	 0.0044
     52	[   1.58,-4.7403]	  -72.0	 0.0538	 0.0031
     53	[ 1.5801,-4.7408]	  -72.0	 0.1797	 0.0036
     54	[ 1.5802,-4.7409]	  -72.0	 0.0538	 0.0025
     55	[ 1.5803,-4.7413]	  -72.0	 0.1794	 0.0029
     56	[ 1.5804,-4.7414]	  -72.0	 0.0538	  0.002
     57	[ 1.5804,-4.7417]	  -72.0	 0.1792	 0.0024
     58	[ 1.5806,-4.7417]	  -72.0	 0.0538	 0.0016
     59	[ 1.5806, -4.742]	  -72.0	  0.179	 0.0019
     60	[ 1.5807,-4.7421]	  -72.0	 0.0538	 0.0013
     61	[ 1.5807,-4.7423]	  -72.0	 0.1789	 0.0016
     62	[ 1.5808,-4.7423]	  -72.0	 0.0538	 0.0011
     63	[ 1.5808,-4.7425]	  -72.0	 0.1788	 0.0013
     64	[ 1.5808,-4.7425]	  -72.0	 0.0538	 0.0009
